--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Run Date: 29.04.2019  Client  : 100   Bluescope ECC Quality                                                                                                 Page:      1
Run Time: 18:22:06    Co. Code: 1010  SLIAPK-Port Kembla SteelW                                                                            ABAP: ZFR_GRIR_REPORT_ANALYSIS
                                                                      GR/IR Analysis Report (online)
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GR/IR Analysis of Creditors - Combined Detail Report for Clearing Date 28.02.2019.

GOODS NOT YET INVOICED



G / L Account:     800200      Trade Pbles-Ext-Accr
Expenditure type:            INVENTORY

D   Purchase Order    PO   Vendor     Vendor      Vendor name                          Account                  Value of Goods   Qty of Goods  User         Last GR    Del
R     / Item No.     Type   Ctrl        No.                                            Assign                    not invoiced    not invoiced                 Date     End
  4801029990 /    4  ECAP  800000     110462     GLOBETECH PTY LTD                   P PKC.03368.02.001.02            18785.00-       291.350 MALITD       04.02.2019 29.0
  4801030029 /    1  ECAP  800000     103653     ARA ELECTRICAL ENGINEERING SERVICES P PKC.03377.04                       6.94-         0.001 MA9GART1     28.08.2018 19.0
  4801030059 /    1  ECAP  800000     109879     WOLLONGONG CRANES PTY LTD           P PKC.03265.03.017                   3.71-         0.001 QAOVER       23.07.2018 23.0
  4801030076 /    1  ECAP  800000     104597     CMA ELECTRO HYDRAULIC ENGINEERS     P PKC.03340.03                    9981.00-         1.000 MACARL1      14.11.2018 03.1
  4801030088 /    1  ECAP  800000     102902     KJ INDUSTRIAL SCAFFOLDING PTY LTD   P PKC.03265.03.017                 919.45-         1.000 QAOVER       30.07.2018 25.0
  4801030088 /    4  ECAP  800000     102902     KJ INDUSTRIAL SCAFFOLDING PTY LTD   P PKC.03265.03.017                  16.38-         1.000 QAOVER       30.07.2018 25.0
  4801030142 /    1  ECAP  800000     116724     TOLHURST ENGINEERING PTY LTD        P PKC.03482.01.002.02             1800.00-         1.000 MAALEW       17.08.2018 27.0
  4801030151 /    1  ECAP  800000     117176     EURO TECH CABLES PTY LTD            P PKC.03025.01.001                2448.00-         0.000 MA9KAJS      30.07.2018 31.0
  4801030151 /    2  ECAP  800000     117176     EURO TECH CABLES PTY LTD            P PKC.03025.01.001                 180.00-         0.000 MA9KAJS      30.07.2018 31.0
  4801030157 /    1  ECAP  800000     113280     GEODIS WILSON AUSTRALIA PTY LTD     P PKC.03390.04                    3693.05-         1.000 MA9CHAV      11.12.2018 01.0
  4801030157 /    2  ECAP  800000     113280     GEODIS WILSON AUSTRALIA PTY LTD     P PKC.03390.04                     636.32-         1.000              11.12.2018 01.0
  4801030160 /    1  ECAP  800000     102645     L&H GROUP                           P PKC.03173.10.001                  49.32-         3.000 MABROR       06.08.2018 03.0
  4801030160 /    2  ECAP  800000     102645     L&H GROUP                           P PKC.03173.10.001                  17.48-         2.000 MABROR       06.08.2018 10.0
  4801030160 /    3  ECAP  800000     102645     L&H GROUP                           P PKC.03173.10.001                  37.52-         2.000 MABROR       06.08.2018 10.0
  4801030160 /    4  ECAP  800000     102645     L&H GROUP                           P PKC.03173.10.001                  31.53-         3.000 MABROR       06.08.2018 10.0
  4801030169 /    2  ECAP  800000     102493     CRAM FLUID POWER PTY LTD            P PKC.03398.30.010.03              197.00-         1.000 MATOWC       18.01.2019 28.0
  4801030174 /    2  ECAP  800000     103153     ELEMENT14 PTY LTD                   P PKC.03408.01.002                  95.57-         2.755 MA9DONP      21.08.2018 14.0
  4801030208 /    1  ECAP  800000     104115     SNARE FABRICATIONS PTY LTD          P PKC.03287.03                   28908.00-         1.000 MA9MARJ      11.02.2019 24.1
  4801030236 /    1  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                2823.96-         1.000 MA9YOUR1     19.11.2018 31.1
  4801030236 /    2  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                1332.10-         1.000 MA9YOUR1     08.11.2018 31.1
  4801030236 /    3  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                 871.92-         1.000 MA9YOUR1     08.11.2018 31.1
  4801030236 /    4  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                1586.41-         1.000 MA9YOUR1     08.11.2018 13.1
  4801030236 /    5  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                5719.48-         1.000 MA9YOUR1     07.01.2019 13.1
  4801030236 /    6  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                6366.48-         2.000 MA9YOUR1     07.01.2019 13.1
  4801030236 /    7  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                3390.28-         1.000 MA9YOUR1     07.01.2019 13.1
  4801030236 /    8  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                5812.80-         1.000 MA9YOUR1     08.11.2018 13.1
  4801030236 /    9  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                  96.88-         1.000 MA9YOUR1     08.11.2018 13.1
  4801030236 /   10  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                 363.30-         5.000 MA9YOUR1     08.11.2018 13.1
  4801030236 /   11  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                 205.87-         1.000 MA9YOUR1     08.11.2018 31.1
  4801030236 /   12  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100               11020.10-         7.000 MA9YOUR1     08.11.2018 31.1
  4801030236 /   13  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                8561.77-         7.000 MA9YOUR1     08.11.2018 13.1
  4801030236 /   14  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                3781.44-        12.000 MA9YOUR1     19.11.2018 13.1
  4801030236 /   15  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                9324.70-        10.000 MA9YOUR1     08.11.2018 13.1
  4801030236 /   16  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100               11698.26-        14.000 MA9YOUR1     08.11.2018 13.1
  4801030236 /   17  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100               10597.86-         7.000 MA9YOUR1     07.01.2019 13.1
  4801030236 /   18  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100               13089.60-         8.000 MA9YOUR1     19.11.2018 13.1
  4801030236 /   19  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                2044.52-         2.000 MA9YOUR1     07.01.2019 13.1
  4801030236 /   20  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                2300.90-         2.000 MA9YOUR1     08.11.2018 13.1
  4801030236 /   21  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                3100.16-         2.000 MA9YOUR1     08.11.2018 13.1
  4801030236 /   22  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                3051.72-        60.000 MA9YOUR1     08.11.2018 31.1
  4801030236 /   23  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                4068.96-        16.000 MA9YOUR1     08.11.2018 31.1
  4801030236 /   24  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                 133.21-         1.000 MA9YOUR1     08.11.2018 31.1
  4801030236 /   25  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                3272.40-         2.000 MA9YOUR1     19.11.2018 13.1
  4801030236 /   26  ECAP  800000     200791     TMEIC JAPAN                         P PKC.03488.30.100                 339.08-         2.000 MA9YOUR1     08.11.2018 31.1
  4801030258 /    3  ECAP  800000     102493     CRAM FLUID POWER PTY LTD            P PKC.03284.30.002                 167.17-         1.000 MACARL1      06.09.2018 07.0
  4801030258 /    4  ECAP  800000     102493     CRAM FLUID POWER PTY LTD            P PKC.03284.30.002                   7.37-         1.000 MACARL1      06.09.2018 07.0
  4801030259 /    1  ECAP  800000     117210     ALL PUMPS PTY LTD                   P PKC.03495.03.002              260736.00-    260736.000 MAHAZP1      29.01.2019 27.1
  4801030259 /    2  ECAP  800000     117210     ALL PUMPS PTY LTD                   P PKC.03495.03.002               22840.00-         1.000 MAHAZP1      29.01.2019 27.1
  4801030261 /    3  ECAP  800000     113908     CONCEPT ENGINEERING SERVICES PTY LT P PKC.03495.02.001                1166.95-         0.361 QAFISG       30.01.2019 28.0
  4801030278 /    1  ECAP  800000     201875     PAUL WURTH SA                       P PKC.03453.04.001.05           118057.17-         0.600 MADIPP       22.01.2019 01.0
  4801030278 /    2  ECAP  800000     201875     PAUL WURTH SA                       P PKC.03453.04.001.05            94774.33-         0.600 MADIPP       22.01.2019 04.0
  4801030278 /    3  ECAP  800000     201875     PAUL WURTH SA                       P PKC.03453.04.001.05           100084.28-         0.600 MADIPP       22.01.2019 04.0
  4801030278 /    4  ECAP  800000     201875     PAUL WURTH SA                       P PKC.03453.04.001.05             3714.59-         0.600 MADIPP       22.01.2019 04.0
  4801030278 /    5  ECAP  800000     201875     PAUL WURTH SA                       P PKC.03453.04.001.05            55314.00-         0.600 MADIPP       22.01.2019 07.0
  4801030278 /    6  ECAP  800000     201875     PAUL WURTH SA                       P PKC.03453.04.001.05            65248.13-         0.600 MADIPP       22.01.2019 07.0
  4801030278 /    7  ECAP  800000     201875     PAUL WURTH SA                       P PKC.03453.04.001.05             5714.75-         0.600 MADIPP       22.01.2019 07.0
  4801030278 /    8  ECAP  800000     201875     PAUL WURTH SA                       P PKC.03453.04.001.05            27259.35-         0.600 MADIPP       22.01.2019 07.0
  4801030278 /    9  ECAP  800000     201875     PAUL WURTH SA                       P PKC.03453.04.001.05            10910.41-         0.600 MADIPP       22.01.2019 07.0
  4801030391 /    1  ECAP  800000     109369     PROJECT PORTFOLIO MANAGEMENT IND PL P PKC.03488.20.500.01            52382.50-     73842.340 MA9YOUR1     25.02.2019 31.0
  4801030429 /    1  ECAP  800000     116089     FREDON INDUSTRIES PTY LTD           P PKC.03340.04                    1224.50-         0.026 MAZOUM       29.10.2018 30.1
  4801030429 /    2  ECAP  800000     116089     FREDON INDUSTRIES PTY LTD           P PKC.03340.04                    1846.99-         0.142 MAZOUM       24.10.2018 23.1
  4801030430 /    2  ECAP  800000     115354     JAY MAR CONCRETE SERVICES PTY LTD   P PKC.03281.03                   14400.00-         5.000 MA9ALEL      20.02.2019 15.0
  4801030433 /    2  ECAP  800000     116923     APS INDUSTRIAL PTY LTD              P PKC.03209.30.020.20               57.44-         2.000 MAZEIA       13.02.2019 07.0
  4801030447 /    3  ECAP  800000     116089     FREDON INDUSTRIES PTY LTD           P PKC.03473.01.002.02             1807.84-         0.113 MAPFIG       03.12.2018 29.1
  4801030449 /    1  ECAP  800000     103980     COASTWIDE FABRICATION & ERECTION PL P PKC.03277.03                   32931.20-         0.800 MAALLC2      14.11.2018 23.1
  4801030451 /    1  ECAP  800000     109879     WOLLONGONG CRANES PTY LTD           P PKC.03289.03                     746.36-         1.000 MALUCS2      07.02.2019 15.0
  4801030454 /    1  ECAP  800000     102761     BROADSPECTRUM AUSTRALIA PTY LTD     P PKC.03510.03                   58885.39-         0.227 MA9NORD      18.02.2019 01.1
  4801030455 /    1  ECAP  800000     103980     COASTWIDE FABRICATION & ERECTION PL P PKC.03280.03                   77950.00-         1.000 MAALLC2      30.01.2019 14.0
  4801030455 /    2  ECAP  800000     103980     COASTWIDE FABRICATION & ERECTION PL P PKC.03280.03                   93415.00-         1.000 MAALLC2      30.01.2019 14.0
  4801030486 /    1  ECAP  800000     115867     INGLIS ENGINEERING                  P PKC.03464.01                    3700.80-         0.514 MA9KOVG      15.10.2018 21.0
  4801030486 /    3  ECAP  800000     115867     INGLIS ENGINEERING                  P PKC.03464.01                     900.00-         1.000 MA9CHAV      18.02.2019 31.0
  4801030490 /    1  ECAP  800000     110462     GLOBETECH PTY LTD                   P PKC.03194.40.010.13             2110.50-         0.075 MASTEJ1      03.01.2019 30.1
  4801030496 /    1  ECAP  800000     109875     PARKER HANNIFIN AUSTRALIA PTY LTD   P PKC.03340.03                    9652.80-         1.000 MACARL1      14.11.2018 09.1
  4801030496 /    2  ECAP  800000     109875     PARKER HANNIFIN AUSTRALIA PTY LTD   P PKC.03340.03                    9652.80-         1.000 MACARL1      14.11.2018 06.1
  4801030533 /    1  ECAP  800000     103980     COASTWIDE FABRICATION & ERECTION PL P PKC.03377.04                  206580.00-         1.000 MA9GART1     20.12.2018 31.0
  4801030536 /    1  ECAP  800000     110967     JBK ENGINEERING                     P PKC.03281.03                  104862.00-         6.000 MAROBP       17.01.2019 26.1
  4801030562 /    1  ECAP  800000     115276     PEWAG AUSTRALIA PTY LTD             P PKC.03280.03                   10707.00-         1.000 MAALLC2      31.01.2019 20.1
  4801030562 /    2  ECAP  800000     115276     PEWAG AUSTRALIA PTY LTD             P PKC.03280.03                   13168.00-         1.000 MAALLC2      31.01.2019 20.1
  4801030562 /    3  ECAP  800000     115276     PEWAG AUSTRALIA PTY LTD             P PKC.03280.03                     200.00-         1.000 MAALLC2      31.01.2019 20.1
  4801030566 /    1  ECAP  800000     109369     PROJECT PORTFOLIO MANAGEMENT IND PL P PKC.03488.20.500.03             2310.00-        38.500 MAALEW       25.02.2019 18.0
  4801030566 /    2  ECAP  800000     109369     PROJECT PORTFOLIO MANAGEMENT IND PL P PKC.03488.20.500.04             4536.00-       145.750 MAALEW       25.02.2019 18.0
  4801030575 /    1  ECAP  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT P PKC.03398.40.020.02               60.00-         0.001 MASMIM       04.12.2018 29.0
  4801030575 /    2  ECAP  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT P PKC.03398.40.020.02              500.00-         0.005 MASMIM       17.12.2018 30.0
  4801030576 /    1  ECAP  800000     102761     BROADSPECTRUM AUSTRALIA PTY LTD     P PKC.03398.30.010.07             4160.00-         0.002 MASMIM       28.02.2019 24.1
  4801030587 /    2  ECAP  800000     116923     APS INDUSTRIAL PTY LTD              P PKC.03209.30.020.20               20.00-         1.000 MAZEIA       13.02.2019 27.0
  4801030593 /    1  ECAP  800000     102761     BROADSPECTRUM AUSTRALIA PTY LTD     P PKC.03368.02.003                7148.54-         0.416 MALITD       22.02.2019 09.1
  4801030593 /    3  ECAP  800000     102761     BROADSPECTRUM AUSTRALIA PTY LTD     P PKC.03368.02.003                6584.00-         1.000 MALITD       31.01.2019 31.0
  4801030597 /    1  ECAP  800000     104115     SNARE FABRICATIONS PTY LTD          P PKC.03520.03                   71552.80-         0.800 MAALLC2      17.01.2019 20.1
  4801030598 /    1  ECAP  800000     116089     FREDON INDUSTRIES PTY LTD           P PKC.03488.40.100                 450.00-         0.012 MA9YOUR1     07.01.2019 30.1
  4801030650 /    1  ECAP  800000     103861     DOWNER EDI ENGINEERING POWER PTY LT P PKC.03515.01.004                6361.92-         0.054 MAPFIG       28.11.2018 30.1
  4801030663 /    1  ECAP  800000     103352     TRIPLE I PTY LTD                    P PKC.03462.20.030                  20.06-         0.001 QAFISG       05.11.2018 31.1
  4801030679 /    4  ECAP  800000     102494     360HR PTY LTD                       P PKC.03488.20.500.05             2200.00-        40.000 MA9YOUR1     28.02.2019 08.0
  4801030702 /    1  ECAP  800000     103722     RENOLD AUSTRALIA PTY LTD(WETHERILL  P PKC.03359.03                   11940.00-         3.000 MAROBP       14.11.2018 08.0
  4801030711 /    1  ECAP  800000     114358     PROGRAMMED IM (T&C SERVICES) WOLLON P PKC.03217.01                    6762.00-         0.000 MABRAB1      28.02.2019 31.1
  4801030714 /    1  ECAP  800000     103336     K&R FABRICATIONS WGONG PTY LTD      P PKC.03398.30.010.11               10.00-         0.002 MASMIM       15.11.2018 15.1
  4801030723 /    1  ECAP  800000     102902     KJ INDUSTRIAL SCAFFOLDING PTY LTD   P PKC.03515.01.004                 283.94-         0.070 MAPFIG       09.11.2018 11.1
